DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2022.10.11,8:00:00,1.10231,1.10563,1.09974,1.1044,59073,0,0
2022.10.11,12:00:00,1.10438,1.11142,1.1031,1.10879,44249,0,0
2022.10.11,16:00:00,1.1088,1.11799,1.10436,1.11617,62208,0,0
2022.10.11,20:00:00,1.11618,1.11649,1.09519,1.09667,43026,0,0
2022.10.12,0:00:00,1.09627,1.09918,1.0948,1.09698,23349,0,0
2022.10.12,4:00:00,1.09697,1.10605,1.0923,1.09969,49144,0,1
2022.10.12,8:00:00,1.09962,1.10655,1.09539,1.10363,65553,0,0
2022.10.12,12:00:00,1.10365,1.10989,1.1021,1.10471,47992,0,0
2022.10.12,16:00:00,1.10471,1.10997,1.10221,1.10627,57503,0,0
2022.10.12,20:00:00,1.10625,1.11335,1.10599,1.10982,34347,0,0
2022.10.13,0:00:00,1.10983,1.11198,1.10876,1.11115,18072,0,1
2022.10.13,4:00:00,1.11115,1.11148,1.10754,1.10896,26348,0,0
2022.10.13,8:00:00,1.10895,1.11038,1.10575,1.11032,45978,0,0
2022.10.13,12:00:00,1.11032,1.12973,1.11,1.12167,49363,0,0
2022.10.13,16:00:00,1.12162,1.13805,1.11589,1.13295,67620,0,0
2022.10.13,20:00:00,1.13279,1.13519,1.13009,1.13227,20310,0,2
2022.10.14,0:00:00,1.13105,1.13341,1.12893,1.1307,7242,0,0
2022.10.14,4:00:00,1.1307,1.13661,1.13056,1.13213,13889,0,1
2022.10.14,8:00:00,1.1321,1.1335,1.12547,1.12748,41274,0,0
2022.10.14,12:00:00,1.12751,1.13107,1.11667,1.12614,54138,0,0
2022.10.14,16:00:00,1.12612,1.12883,1.11521,1.11612,71882,0,0
2022.10.14,20:00:00,1.11611,1.11855,1.11553,1.11781,27262,0,1
2022.10.17,0:00:00,1.12108,1.12515,1.12089,1.12238,25227,0,5
